date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:08:33	262/262	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Mar%202022%2013:08:33%20GMT	https://mobirise.com/extensions/floram4/floral-studio/index.html	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/index-2.html	(from https://mobirise.com/extensions/floram4/floral-studio/)
20:08:34	262/262	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Mar%202022%2013:08:34%20GMT	https://mobirise.com/extensions/floram4/floral-studio/index.html	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/index-2.html	(from https://mobirise.com/extensions/floram4/floral-studio/)
20:08:35	262/262	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Mar%202022%2013:08:35%20GMT	https://mobirise.com/extensions/floram4/floral-studio/index.html	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/index-2.html	(from https://mobirise.com/extensions/floram4/floral-studio/)
20:08:36	262/262	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Mar%202022%2013:08:36%20GMT	https://mobirise.com/extensions/floram4/floral-studio/index.html	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/index-2.html	(from https://mobirise.com/extensions/floram4/floral-studio/)
20:08:37	262/262	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Mar%202022%2013:08:37%20GMT	https://mobirise.com/extensions/floram4/floral-studio/index.html	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/index-2.html	(from https://mobirise.com/extensions/floram4/floral-studio/)
20:08:38	262/262	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Mar%202022%2013:08:38%20GMT	https://mobirise.com/extensions/floram4/floral-studio/index.html	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/index-2.html	(from https://mobirise.com/extensions/floram4/floral-studio/)
20:08:39	89476/89476	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2018%20May%202021%2015:21:26%20GMT	https://mobirise.com/extensions/floram4/floral-studio/assets/web/assets/jquery/jquery.min.js	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/assets/web/assets/jquery/jquery.min.js	(from https://mobirise.com/extensions/floram4/floral-studio/)
20:08:40	18994/18994	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2018%20May%202021%2015:21:26%20GMT	https://mobirise.com/extensions/floram4/floral-studio/assets/popper/popper.min.js	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/assets/popper/popper.min.js	(from https://mobirise.com/extensions/floram4/floral-studio/)
20:08:41	23217/23217	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2018%20May%202021%2015:21:26%20GMT	https://mobirise.com/extensions/floram4/floral-studio/assets/tether/tether.min.js	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/assets/tether/tether.min.js	(from https://mobirise.com/extensions/floram4/floral-studio/)
20:08:42	60044/60044	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2018%20May%202021%2015:21:26%20GMT	https://mobirise.com/extensions/floram4/floral-studio/assets/bootstrap/js/bootstrap.min.js	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/assets/bootstrap/js/bootstrap.min.js	(from https://mobirise.com/extensions/floram4/floral-studio/)
